Fe1,Fe2,Fe3,Fe4,Fe5,Fe6,Fe7,Fe8,Fe9,Fe10,Fe11,Fe12,Target
14.274665914762185,0.30660367696814633,-6.509358147150496,25.68482184480873,6.009787605145088,8.236848433317558,-4.603504141606863,7.1901155956092815,-8.3852012326818,8.234613711800273,1.6102107563983874,0.4859774520660723,0.0
14.075766594862143,-4.393328802049742,-6.786651920072205,15.713790583164785,6.494776629905722,8.307470470132595,-0.6464921221172922,18.59016259503931,-6.765775101256375,10.0111372007001,0.03208179364096575,1.5950674044976594,1.0
13.385393502879227,-2.412715572677354,-4.905457871435287,18.909799447412762,10.608100957902144,11.484524962758055,0.2224757006248508,10.676471346668288,-9.668631909026466,5.6372954793075225,-5.071390132976262,0.6657330304390842,2.0
14.335634611143384,-3.9234584742982697,-8.28895378146659,21.25113068616417,4.331520384889326,2.9350588144742966,-5.941684509651145,12.855107959547734,-1.2150892424566064,11.138346410763429,1.4529805162619536,1.9367082463432048,3.0
12.976790785569664,-7.66848492282813,-9.849165726609236,13.470379096372648,3.166024400860148,7.288091287925464,0.33054133989925394,18.057564503981816,-6.420735775914397,5.402358507817307,-5.311178513843365,6.55439926947797,4.0
14.46991056074069,-10.979243821240146,-10.999319195780132,15.589879135682974,3.0094511627178213,6.9310718680592025,0.5722335999543696,15.66365638643151,-6.938023969472607,5.354319313601303,-2.6986133608971707,7.433391932600608,5.0
15.077180027828586,-16.152375331905905,-12.098943519326744,25.934584909525565,1.694195599491088,4.391302213955304,-0.2675272662336086,14.554328982681007,-9.083353910129906,1.989042954164423,-2.950581574998228,7.571697452410426,6.0
14.238711195122638,-12.973691430699253,-11.42870401702914,19.0277513325692,2.4479012881916544,4.939597551303229,0.7442307321600765,14.567265333131092,-10.634161651312793,3.8702558949621206,-3.3081278962947795,7.147980365186461,7.0
13.366783349900398,-8.454901435557902,-6.1950865117611205,16.350900630870793,9.473710609777523,11.171532504046798,-0.6976413214354438,10.184637593805311,-9.826078347432032,4.546459774827774,-5.778253563908888,6.851105398305847,8.0
13.816265446490725,-8.478957718530225,-5.528680097040045,17.987956784812354,3.6261159928003055,9.489653208549221,-1.7912121801753749,10.6160527814163,-7.239718390884846,6.951002538891218,-4.85315367470397,4.967449853127318,9.0
13.4440930397735,-4.971763493277272,-5.067718085325079,16.86804662883637,7.074859148038247,7.780559081216924,-5.3707154175145195,7.350647236268518,-11.48029228698,3.0525498293818187,-6.399555724376674,4.274476764978736,0.0
14.247461850208099,-2.8848179267908947,-0.01644966464962849,17.88561435546141,7.4119804904534226,6.474045296545994,-0.15077440548523569,20.22296318100444,-3.159037297831155,8.914181924239347,-1.4678341153223589,4.463474302295907,1.0
